# Frame 2 of the radiohead house of cards lidar dataset
# Copyright 2008 Radiohead
# Some Rights Reserved: Data used to produce the House of             
# Cards music video is made available under the Creative Commons        
# Attribution-Noncommercial-Share Alike 3.0 License.                    
-64.177895,112.70487,-274.35837,15
-59.359066,114.32959,-255.09976,15
-51.207882,101.68644,-208.91449,16
-58.971443,104.31893,-259.70114,16
-51.44399,115.929245,-215.6215,16
-49.932625,99.99413,-210.45195,15
-50.473846,103.10949,-215.1106,15
-45.35039,111.225624,-184.93314,16
-47.926216,114.28145,-202.72536,16
-61.889854,95.23086,-297.28125,15
-49.705925,101.365685,-220.00706,19
-45.227207,107.97142,-193.21735,15
-45.171047,111.09096,-194.0059,16
-44.88326,114.218575,-193.28032,16
-44.796547,117.3422,-193.86218,16
-50.46786,96.24507,-233.78903,15
-48.014164,99.69681,-218.92662,18
-47.17481,102.94132,-214.61896,17
-45.701218,106.2019,-206.13379,17
-44.09212,110.98617,-197.31989,16
-43.800762,114.122215,-196.5671,17
-44.35632,117.25368,-201.38855,16
-48.87322,135.07939,-237.67905,15
-45.244133,96.572266,-210.09633,15
-46.283653,99.62128,-218.17123,20
-45.56898,102.85401,-214.64868,20
-44.367756,106.09832,-207.89119,20
-42.882374,109.31931,-199.23134,20
-42.57272,112.46157,-198.35422,18
-42.983757,115.59188,-202.25969,16
-41.251465,134.40482,-197.70053,14
-44.860638,94.76039,-217.61731,15
-44.863636,97.92869,-218.85886,17
-44.738266,101.11486,-219.24161,25
-43.286335,104.39935,-210.7578,23
-41.921207,107.6337,-202.8328,23
-41.45339,110.792244,-200.89447,19
-41.131927,113.93748,-199.92873,18
-41.746403,118.65355,-205.82849,19
-33.18254,130.6518,-152.85266,18
-34.57516,133.8181,-163.36649,15
-28.781021,176.73741,-139.91525,15
-42.736866,93.16267,-213.5715,15
-43.888927,96.181694,-222.54779,18
-43.33985,99.41937,-220.08687,24
-42.277256,102.686264,-214.15607,25
-39.961697,106.0028,-199.75696,24
-38.89145,109.18393,-193.73257,22
-38.178696,112.32241,-190.10797,17
-38.85896,115.42601,-195.89674,18
-40.169308,118.564766,-205.9604,20
-31.082325,129.01154,-148.3763,17
-32.667393,132.16864,-160.2879,15
-44.530796,154.58456,-248.87929,16
-31.061527,178.03159,-166.0705,14
-42.8662,92.83765,-225.34366,16
-42.71912,96.04133,-225.59729,19
-41.626404,99.34267,-219.42297,23
-40.25732,102.63415,-211.35202,28
-37.419003,105.9796,-193.25848,28
-35.65137,109.17722,-182.41919,21
-36.271744,112.24568,-187.84254,20
-38.402187,116.8992,-204.18782,22
-19.651209,123.98577,-78.770996,15
-29.951729,128.95253,-151.03506,19
-31.983234,132.1565,-166.12485,16
-41.431164,149.26878,-237.07207,14
-38.36788,153.5426,-217.71382,16
-36.412155,156.32487,-205.36926,15
-27.376646,171.00717,-148.9388,15
-41.372166,94.32668,-226.85374,17
-40.009274,97.67099,-218.77686,21
-39.020103,100.936806,-213.24231,23
-35.949318,104.3318,-193.39772,31
-34.340885,107.53619,-183.5595,26
-35.255257,110.58764,-191.05606,22
-36.352642,115.24275,-200.43254,20
-36.793537,118.385956,-204.68884,22
-18.157593,123.90254,-78.28848,15
-27.447214,127.29661,-143.654,17
-28.93552,130.4171,-155.10844,15
-34.38336,133.98907,-194.03839,14
-31.087402,136.74612,-172.35052,14
-30.50184,141.29587,-170.02722,14
-36.04866,150.09012,-211.57872,15
-35.995823,153.28664,-212.40364,16
-36.4629,156.60739,-216.85695,16
-36.28278,159.79189,-216.79112,14
-24.813164,162.98048,-138.83467,15
-36.122284,169.46225,-219.23239,15
-29.410677,172.10008,-173.88278,16
-29.450577,178.38826,-176.43405,14
-41.199963,90.83791,-235.59639,16
-37.34103,96.1316,-210.84851,22
-36.574146,99.3612,-206.79637,22
-33.686394,102.75294,-188.03947,31
-32.68645,105.915794,-182.32988,31
-31.522583,110.589066,-176.06898,23
-32.72186,113.63275,-185.61176,21
-34.593822,116.72474,-199.85208,23
-33.955383,119.85518,-196.62729,18
-26.358377,127.23698,-146.60004,21
